event-id,visible,timestamp,location-long,location-lat,bas:fix-type,bas:transition-1,bas:transition-2,gls:light-level,migration-stage,tag-tech-spec,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
2233484246,True,2011-06-29 20:30:00.000,-5.873595264,45.95511625,2.0,29/06/2011 20:30,30/06/2011 04:24,,1.0,,solar-geolocator,Lanius collurio,38,38-59,Migration of red-backed shrikes from the Iberian Peninsula (data from Tøttrup et al. 2017)
2233484247,True,2011-06-30 04:24:00.000,-4.099040588,44.33697979,1.0,30/06/2011 04:24,30/06/2011 20:16,,1.0,,solar-geolocator,Lanius collurio,38,38-59,Migration of red-backed shrikes from the Iberian Peninsula (data from Tøttrup et al. 2017)
2233484248,True,2011-06-30 20:16:00.000,-3.94942425,44.5219456,2.0,30/06/2011 20:16,01/07/2011 04:23,,1.0,,solar-geolocator,Lanius collurio,38,38-59,Migration of red-backed shrikes from the Iberian Peninsula (data from Tøttrup et al. 2017)
2233484249,True,2011-07-01 04:23:00.000,-5.54991049,46.05515503,1.0,01/07/2011 04:23,01/07/2011 20:29,,1.0,,solar-geolocator,Lanius collurio,38,38-59,Migration of red-backed shrikes from the Iberian Peninsula (data from Tøttrup et al. 2017)
2233484250,True,2011-07-01 20:29:00.000,-5.400809957,46.23325809,2.0,01/07/2011 20:29,02/07/2011 04:22,,1.0,,solar-geolocator,Lanius collurio,38,38-59,Migration of red-backed shrikes from the Iberian Peninsula (data from Tøttrup et al. 2017)
2233484251,True,2011-07-02 04:22:00.000,-5.25208073,46.14776496,1.0,02/07/2011 04:22,02/07/2011 20:28,,1.0,,solar-geolocator,Lanius collurio,38,38-59,Migration of red-backed shrikes from the Iberian Peninsula (data from Tøttrup et al. 2017)
2233484252,True,2011-07-02 20:28:00.000,-5.853443678,45.64993211,2.0,02/07/2011 20:28,03/07/2011 04:27,,1.0,,solar-geolocator,Lanius collurio,38,38-59,Migration of red-backed shrikes from the Iberian Peninsula (data from Tøttrup et al. 2017)
2233484253,True,2011-07-03 04:27:00.000,-3.70555815,43.62410596,1.0,03/07/2011 04:27,03/07/2011 20:11,,1.0,,solar-geolocator,Lanius collurio,38,38-59,Migration of red-backed shrikes from the Iberian Peninsula (data from Tøttrup et al. 2017)
2233484254,True,2011-07-03 20:11:00.000,-3.182671712,44.20194039,2.0,03/07/2011 20:11,04/07/2011 04:23,,1.0,,solar-geolocator,Lanius collurio,38,38-59,Migration of red-backed shrikes from the Iberian Peninsula (data from Tøttrup et al. 2017)
2233484255,True,2011-07-04 04:23:00.000,-5.5348495,46.47214811,1.0,04/07/2011 04:23,04/07/2011 20:30,,1.0,,solar-geolocator,Lanius collurio,38,38-59,Migration of red-backed shrikes from the Iberian Peninsula (data from Tøttrup et al. 2017)
2233484256,True,2011-07-04 20:30:00.000,-6.637408997,45.52247,2.0,04/07/2011 20:30,05/07/2011 04:32,,1.0,,solar-geolocator,Lanius collurio,38,38-59,Migration of red-backed shrikes from the Iberian Peninsula (data from Tøttrup et al. 2017)
2233484257,True,2011-07-05 04:32:00.000,-6.615564246,45.56334966,1.0,05/07/2011 04:32,05/07/2011 20:30,,1.0,,solar-geolocator,Lanius collurio,38,38-59,Migration of red-backed shrikes from the Iberian Peninsula (data from Tøttrup et al. 2017)
2233484258,True,2011-07-05 20:30:00.000,-6.593954969,45.64647806,2.0,05/07/2011 20:30,06/07/2011 04:32,,1.0,,solar-geolocator,Lanius collurio,38,38-59,Migration of red-backed shrikes from the Iberian Peninsula (data from Tøttrup et al. 2017)
2233484259,True,2011-07-06 04:32:00.000,-3.573173254,42.68191067,1.0,06/07/2011 04:32,06/07/2011 20:06,,1.0,,solar-geolocator,Lanius collurio,38,38-59,Migration of red-backed shrikes from the Iberian Peninsula (data from Tøttrup et al. 2017)
2233484260,True,2011-07-06 20:06:00.000,-4.177223332,42.09320301,2.0,06/07/2011 20:06,07/07/2011 04:37,,1.0,,solar-geolocator,Lanius collurio,38,38-59,Migration of red-backed shrikes from the Iberian Peninsula (data from Tøttrup et al. 2017)
