event-id,timestamp,location-long,location-lat,bas:transition-1,bas:transition-2,gls:light-level,migration-stage,tag-tech-spec,tag-local-identifier,individual-local-identifier,temperature,precipitation,wind_speed
2233484246,2011-06-29 20:30:00,-5.873595264,45.95511625,29/06/2011 20:30,30/06/2011 04:24,,1.0,,38,38-59,14.9,0.0,23.3
2233484247,2011-06-30 04:24:00,-4.099040588,44.33697979,30/06/2011 04:24,30/06/2011 20:16,,1.0,,38,38-59,16.6,0.0,19.6
2233484248,2011-06-30 20:16:00,-3.94942425,44.5219456,30/06/2011 20:16,01/07/2011 04:23,,1.0,,38,38-59,16.4,0.0,21.1
2233484249,2011-07-01 04:23:00,-5.54991049,46.05515503,01/07/2011 04:23,01/07/2011 20:29,,1.0,,38,38-59,15.6,0.0,30.3
2233484250,2011-07-01 20:29:00,-5.400809957,46.23325809,01/07/2011 20:29,02/07/2011 04:22,,1.0,,38,38-59,15.4,0.0,30.5
2233484251,2011-07-02 04:22:00,-5.25208073,46.14776496,02/07/2011 04:22,02/07/2011 20:28,,1.0,,38,38-59,16.6,0.0,23.8
2233484252,2011-07-02 20:28:00,-5.853443678,45.64993211,02/07/2011 20:28,03/07/2011 04:27,,1.0,,38,38-59,16.8,0.0,25.4
2233484253,2011-07-03 04:27:00,-3.70555815,43.62410596,03/07/2011 04:27,03/07/2011 20:11,,1.0,,38,38-59,18.8,0.0,2.2
2233484254,2011-07-03 20:11:00,-3.182671712,44.20194039,03/07/2011 20:11,04/07/2011 04:23,,1.0,,38,38-59,21.1,0.0,25.8
2233484255,2011-07-04 04:23:00,-5.5348495,46.47214811,04/07/2011 04:23,04/07/2011 20:30,,1.0,,38,38-59,17.5,0.0,15.0
2233484256,2011-07-04 20:30:00,-6.637408997,45.52247,04/07/2011 20:30,05/07/2011 04:32,,1.0,,38,38-59,17.5,0.0,3.8
2233484257,2011-07-05 04:32:00,-6.615564246,45.56334966,05/07/2011 04:32,05/07/2011 20:30,,1.0,,38,38-59,17.4,0.0,26.5
2233484258,2011-07-05 20:30:00,-6.593954969,45.64647806,05/07/2011 20:30,06/07/2011 04:32,,1.0,,38,38-59,17.3,0.0,27.1
2233484259,2011-07-06 04:32:00,-3.573173254,42.68191067,06/07/2011 04:32,06/07/2011 20:06,,1.0,,38,38-59,12.4,0.0,12.8
2233484260,2011-07-06 20:06:00,-4.177223332,42.09320301,06/07/2011 20:06,07/07/2011 04:37,,1.0,,38,38-59,17.1,0.0,8.0
2233484261,2011-07-07 04:37:00,-5.531686861,43.61208174,07/07/2011 04:37,07/07/2011 20:17,,1.0,,38,38-59,15.1,0.1,8.0
2233484262,2011-07-07 20:17:00,-4.886649226,44.34314076,07/07/2011 20:17,08/07/2011 04:32,,1.0,,38,38-59,17.5,0.0,32.4
2233484263,2011-07-08 04:32:00,-3.492213175,42.96845401,08/07/2011 04:32,08/07/2011 20:06,,1.0,,38,38-59,10.7,0.0,4.6
2233484264,2011-07-08 20:06:00,-4.097847248,42.38704875,08/07/2011 20:06,09/07/2011 04:37,,1.0,,38,38-59,11.4,0.0,6.0
2233484265,2011-07-09 04:37:00,-5.953900231,44.4298926,09/07/2011 04:37,09/07/2011 20:21,,1.0,,38,38-59,17.4,0.0,18.1
2233484266,2011-07-09 20:21:00,-4.810560842,45.63977991,09/07/2011 20:21,10/07/2011 04:28,,1.0,,38,38-59,16.7,0.0,24.9
2233484267,2011-07-10 04:28:00,-4.667694648,45.58610014,10/07/2011 04:28,10/07/2011 20:20,,1.0,,38,38-59,17.0,0.0,5.4
2233484268,2011-07-10 20:20:00,-4.650118307,45.68894077,10/07/2011 20:20,11/07/2011 04:28,,1.0,,38,38-59,16.8,0.0,5.6
2233484269,2011-07-11 04:28:00,-4.008200772,45.14761825,11/07/2011 04:28,11/07/2011 20:15,,1.0,,38,38-59,17.6,0.0,24.8
2233484270,2011-07-11 20:15:00,-5.116438683,44.1070092,11/07/2011 20:15,12/07/2011 04:37,,1.0,,38,38-59,18.7,0.0,30.2
2233484271,2011-07-12 04:37:00,-5.600354569,44.70227061,12/07/2011 04:37,12/07/2011 20:19,,1.0,,38,38-59,18.0,0.0,24.8
2233484272,2011-07-12 20:19:00,-6.334584575,44.03322309,12/07/2011 20:19,13/07/2011 04:43,,1.0,,38,38-59,18.4,0.0,19.0
2233484273,2011-07-13 04:43:00,-4.694647302,42.32609792,13/07/2011 04:43,13/07/2011 20:06,,1.0,,38,38-59,12.4,0.0,9.7
2233484274,2011-07-13 20:06:00,-4.55493483,42.58528314,13/07/2011 20:06,14/07/2011 04:42,,1.0,,38,38-59,11.4,0.0,4.5
2233484275,2011-07-14 04:42:00,-4.91582829,43.09509283,14/07/2011 04:42,14/07/2011 20:09,,1.0,,38,38-59,6.2,0.0,2.3
2233484276,2011-07-14 20:09:00,-3.902188651,44.30508748,14/07/2011 20:09,15/07/2011 04:34,,1.0,,38,38-59,17.9,0.0,11.5
2233484277,2011-07-15 04:34:00,-4.139123749,44.66416333,15/07/2011 04:34,15/07/2011 20:11,,1.0,,38,38-59,18.1,0.0,1.1
2233484278,2011-07-15 20:11:00,-4.001451901,44.91820606,15/07/2011 20:11,16/07/2011 04:33,,1.0,,38,38-59,17.9,0.0,4.7
2233484279,2011-07-16 04:33:00,-4.614421972,45.66344848,16/07/2011 04:33,16/07/2011 20:16,,1.0,,38,38-59,18.2,0.1,32.4
2233484280,2011-07-16 20:16:00,-4.602806123,45.78941644,16/07/2011 20:16,17/07/2011 04:33,,1.0,,38,38-59,18.2,0.1,32.4
2233484281,2011-07-17 04:33:00,-4.466908793,45.76817865,17/07/2011 04:33,17/07/2011 20:15,,1.0,,38,38-59,16.5,0.0,39.7
2233484282,2011-07-17 20:15:00,-4.956355716,45.38162657,17/07/2011 20:15,18/07/2011 04:37,,1.0,,38,38-59,16.5,0.0,38.6
2233484283,2011-07-18 04:37:00,-3.821614214,44.28438081,18/07/2011 04:37,18/07/2011 20:06,,1.0,,38,38-59,17.1,0.0,39.9
2233484284,2011-07-18 20:06:00,-3.937199776,44.28080254,18/07/2011 20:06,19/07/2011 04:38,,1.0,,38,38-59,17.1,0.0,40.4
2233484285,2011-07-19 04:38:00,-5.178465715,45.74563046,19/07/2011 04:38,19/07/2011 20:16,,1.0,,38,38-59,15.1,0.0,41.5
2233484286,2011-07-19 20:16:00,-6.045156796,44.95050181,19/07/2011 20:16,20/07/2011 04:45,,1.0,,38,38-59,15.8,0.0,43.7
2233484287,2011-07-20 04:45:00,-5.912641166,44.93789294,20/07/2011 04:45,20/07/2011 20:15,,1.0,,38,38-59,16.8,0.0,30.7
2233484288,2011-07-20 20:15:00,-5.530545295,45.48640919,20/07/2011 20:15,21/07/2011 04:42,,1.0,,38,38-59,16.5,0.0,29.0
2233484289,2011-07-21 04:42:00,-4.899212679,44.93369854,21/07/2011 04:42,21/07/2011 20:10,,1.0,,38,38-59,16.8,0.0,32.4
2233484290,2011-07-21 20:10:00,-5.518257197,44.37656979,21/07/2011 20:10,22/07/2011 04:47,,1.0,,38,38-59,17.0,0.0,32.2
2233484291,2011-07-22 04:47:00,-5.013099099,43.93430897,22/07/2011 04:47,22/07/2011 20:06,,1.0,,38,38-59,16.4,0.0,12.2
2233484292,2011-07-22 20:06:00,-4.633366661,44.51880951,22/07/2011 20:06,23/07/2011 04:44,,1.0,,38,38-59,16.4,0.0,16.3
2233484293,2011-07-23 04:44:00,-5.754373331,45.92015829,23/07/2011 04:44,23/07/2011 20:15,,1.0,,38,38-59,16.0,0.0,17.6
2233484294,2011-07-23 20:15:00,-8.000800347,43.48879869,23/07/2011 20:15,24/07/2011 05:02,,1.0,,38,38-59,12.9,0.0,17.1
2233484295,2011-07-24 05:02:00,-7.99805146,43.63829097,24/07/2011 05:02,24/07/2011 20:15,,1.0,,38,38-59,15.1,0.0,2.1
2233484296,2011-07-24 20:15:00,-6.370766016,45.69013985,24/07/2011 20:15,25/07/2011 04:49,,1.0,,38,38-59,17.0,0.0,23.8
